page_likes,page_interaction,page_category,tot_no_comments_bef,no_comments_24h,no_comments_48_24h,no_comments_24h_after_pub,delta_48_24h,character_count_post,no_shares_post,day_posted,current_day,has_new_comments,ID
3002026,77240,9,31,31,0,31,31,75,59,MONDAY,TUESDAY,NA,P10031
78923,25345,24,99,20,79,94,-59,15,3,THURSDAY,FRIDAY,NA,P10032
7634,11,30,0,0,0,0,0,0,2,WEDNESDAY,FRIDAY,NA,P10033
99033,1053,32,18,7,11,18,-4,39,32,MONDAY,TUESDAY,NA,P10034
879585,49540,9,12,12,0,12,12,231,24,SUNDAY,SUNDAY,NA,P10035
81756,2947,36,22,22,0,22,22,195,71,SATURDAY,SUNDAY,NA,P10036
155048,34292,18,33,33,0,33,33,212,14,THURSDAY,FRIDAY,NA,P10037
50469,2456,32,1,0,0,1,0,329,1,WEDNESDAY,SATURDAY,NA,P10038
572325,27248,24,29,3,26,29,-23,260,58,MONDAY,TUESDAY,NA,P10039
329587,11271,4,0,0,0,0,0,31,2,FRIDAY,SATURDAY,NA,P10040
57889,10836,18,7,7,0,7,7,61,23,SUNDAY,MONDAY,NA,P10041
579587,33116,18,76,2,74,75,-72,169,1,SATURDAY,SUNDAY,NA,P10042
1433518,101466,9,112,3,9,103,-6,107,173,MONDAY,THURSDAY,NA,P10043
31178,41,27,0,0,0,0,0,275,3,WEDNESDAY,THURSDAY,NA,P10044
1833326,2081,14,21,0,6,21,-6,54,280,THURSDAY,SUNDAY,NA,P10045
2508979,63476,9,16,1,1,14,0,142,113,MONDAY,THURSDAY,NA,P10046
1426027,8025,1,5,0,0,5,0,66,18,FRIDAY,MONDAY,NA,P10047
441897,16175,18,81,2,13,75,-11,0,33,MONDAY,THURSDAY,NA,P10048
867486,21963,4,3,2,1,3,1,89,20,WEDNESDAY,THURSDAY,NA,P10049
1009493,47503,9,38,38,0,38,38,60,2,TUESDAY,TUESDAY,NA,P10050
6040,59,24,10,10,0,10,10,110,2,TUESDAY,WEDNESDAY,NA,P10051
269481,4381,38,1,0,1,1,-1,0,2,SUNDAY,WEDNESDAY,NA,P10052
4913787,158828,9,211,2,32,202,-30,57,83,TUESDAY,THURSDAY,NA,P10053
252794,6,22,0,0,0,0,0,77,1,FRIDAY,SUNDAY,NA,P10054
6887,20,19,3,3,0,3,3,334,14,TUESDAY,WEDNESDAY,NA,P10055
4662,12,49,8,8,0,8,8,220,3,THURSDAY,FRIDAY,NA,P10056
468063,137,77,0,0,0,0,0,1697,1,SATURDAY,TUESDAY,NA,P10057
72615,3569,14,22,22,0,22,22,0,2,SATURDAY,SATURDAY,NA,P10058
3002026,77240,9,25,3,22,25,-19,117,5,SATURDAY,SUNDAY,NA,P10059
39611,612,32,0,0,0,0,0,339,3,SATURDAY,MONDAY,NA,P10060
73349,1484,18,8,2,6,7,-4,5,1,THURSDAY,SATURDAY,NA,P10061
309914,5432,26,2,0,2,2,-2,167,77,THURSDAY,FRIDAY,NA,P10062
4300072,293563,18,529,19,84,466,-65,26,142,SUNDAY,WEDNESDAY,NA,P10063
72615,3569,14,5,0,5,5,-5,61,1,SUNDAY,MONDAY,NA,P10064
15064,0,5,0,0,0,0,0,0,2,WEDNESDAY,WEDNESDAY,NA,P10065
579725,91788,24,363,68,295,316,-227,59,574,MONDAY,TUESDAY,NA,P10066
6379081,54297,24,45,45,0,45,45,151,25,TUESDAY,WEDNESDAY,NA,P10067
55975,774,50,1,0,0,1,0,56,1,TUESDAY,FRIDAY,NA,P10068
4609,3,14,2,0,2,2,-2,465,1,THURSDAY,SATURDAY,NA,P10069
3995273,297147,4,1345,1345,0,1345,1345,21,346,SUNDAY,SUNDAY,NA,P10070
23055,67,36,5,0,4,4,-4,164,150,WEDNESDAY,SATURDAY,NA,P10071
1552629,64641,9,65,65,0,65,65,43,57,SUNDAY,MONDAY,NA,P10072
2078654,84453,9,50,50,0,50,50,288,119,FRIDAY,SATURDAY,NA,P10073
3032492,114769,9,11,0,0,11,0,119,2,SATURDAY,TUESDAY,NA,P10074
175201,54849,36,220,41,179,215,-138,2449,88,WEDNESDAY,FRIDAY,NA,P10075
8580,589,44,0,0,0,0,0,123,1,WEDNESDAY,SATURDAY,NA,P10076
663025,5954,24,28,28,0,28,28,174,71,SUNDAY,MONDAY,NA,P10077
30366,2,17,0,0,0,0,0,183,4,WEDNESDAY,THURSDAY,NA,P10078
891159,106158,9,57,4,53,56,-49,185,25,SATURDAY,MONDAY,NA,P10079
11384,226,2,5,5,0,5,5,241,1,FRIDAY,SATURDAY,NA,P10080
684014,72208,9,258,258,0,258,258,36,1521,TUESDAY,TUESDAY,NA,P10081
572325,27248,24,65,65,0,65,65,40,40,SUNDAY,SUNDAY,NA,P10082
33326385,27408,47,345,345,0,345,345,160,21,SATURDAY,SATURDAY,NA,P10083
244175,15135,18,20,0,0,20,0,87,4,SUNDAY,WEDNESDAY,NA,P10084
232059,4993,24,21,21,0,21,21,37,52,SUNDAY,MONDAY,NA,P10085
623667,2666,26,10,10,0,10,10,44,61,SATURDAY,SATURDAY,NA,P10086
518876,51411,24,126,60,66,124,-6,80,15,MONDAY,TUESDAY,NA,P10087
114303,41419,24,21,21,0,21,21,104,50,SUNDAY,SUNDAY,NA,P10088
50563,2348,32,6,6,0,6,6,194,13,FRIDAY,FRIDAY,NA,P10089
17942,264,16,0,0,0,0,0,0,1,SUNDAY,MONDAY,NA,P10090
1251509,46184,9,3,3,0,3,3,0,28,THURSDAY,FRIDAY,NA,P10091
32319,406,32,0,0,0,0,0,37,35,SATURDAY,TUESDAY,NA,P10092
579587,33116,18,40,40,0,40,40,69,15,TUESDAY,TUESDAY,NA,P10093
1009493,47503,9,13,13,0,13,13,140,19,FRIDAY,SATURDAY,NA,P10094
4290409,131422,9,28,1,1,26,0,95,16,SUNDAY,WEDNESDAY,NA,P10095
42440,5337,8,3,0,2,3,-2,38,1,SATURDAY,MONDAY,NA,P10096
5365996,102442,9,35,35,0,35,35,76,1,SATURDAY,SUNDAY,NA,P10097
313452,86759,8,1263,1263,0,1263,1263,133,763,FRIDAY,SATURDAY,NA,P10098
8580,589,44,1,0,0,1,0,171,12,THURSDAY,SUNDAY,NA,P10099
175201,54849,36,51,51,0,51,51,1936,90,TUESDAY,WEDNESDAY,NA,P10100
25281,65,39,38,38,0,38,38,0,26,TUESDAY,WEDNESDAY,NA,P10101
609152,16856,18,28,28,0,28,28,132,2,MONDAY,TUESDAY,NA,P10102
367390,2678,100,10,10,0,10,10,53,42,SUNDAY,SUNDAY,NA,P10103
4290409,131422,9,104,104,0,104,104,74,236,FRIDAY,FRIDAY,NA,P10104
661,0,24,2,2,0,2,2,78,12,SATURDAY,SATURDAY,NA,P10105
891159,106158,9,12,12,0,12,12,2010,11,TUESDAY,TUESDAY,NA,P10106
3337470,11736,40,0,0,0,0,0,288,1,TUESDAY,TUESDAY,NA,P10107
595191,1561,16,140,2,17,137,-15,1483,3,SATURDAY,MONDAY,NA,P10108
23055,67,36,8,2,6,8,-4,96,4,FRIDAY,SATURDAY,NA,P10109
3337470,11736,40,9,1,1,7,0,250,24,SATURDAY,MONDAY,NA,P10110
57889,10836,18,16,16,0,16,16,258,1,MONDAY,TUESDAY,NA,P10111
513160,73487,42,13,13,0,13,13,86,37,SATURDAY,SATURDAY,NA,P10112
663025,5954,24,18,3,15,18,-12,200,4,THURSDAY,SATURDAY,NA,P10113
416948,57260,18,75,75,0,75,75,82,60,SUNDAY,MONDAY,NA,P10114
1204214,6418,1,0,0,0,0,0,20,5,FRIDAY,SATURDAY,NA,P10115
663025,5954,24,50,6,18,43,-12,267,22,MONDAY,WEDNESDAY,NA,P10116
63888,1564,24,20,0,1,20,-1,0,1,SATURDAY,TUESDAY,NA,P10117
4913787,158828,9,63,4,13,52,-9,114,384,THURSDAY,SUNDAY,NA,P10118
309914,5432,26,11,3,8,11,-5,264,243,MONDAY,WEDNESDAY,NA,P10119
640987,84288,1,8,8,0,8,8,56,102,SUNDAY,SUNDAY,NA,P10120
572325,27248,24,5,0,5,5,-5,191,11,SATURDAY,SUNDAY,NA,P10121
2027759,30065,8,0,0,0,0,0,201,198,FRIDAY,FRIDAY,NA,P10122
25281,65,39,12,2,10,12,-8,513,4,SUNDAY,TUESDAY,NA,P10123
343688,13610,24,12,1,11,11,-10,179,14,SATURDAY,MONDAY,NA,P10124
242526,701,4,1,1,0,1,1,268,1,FRIDAY,SATURDAY,NA,P10125
1975842,140870,9,165,4,94,161,-90,166,767,SATURDAY,MONDAY,NA,P10126
1975842,140870,9,205,205,0,205,205,113,72,SUNDAY,MONDAY,NA,P10127
50469,2456,32,4,1,3,3,-2,277,1,SUNDAY,TUESDAY,NA,P10128
9422,189,34,0,0,0,0,0,89,1,SUNDAY,SUNDAY,NA,P10129
456478,3946,24,138,5,31,132,-26,123,49,WEDNESDAY,SATURDAY,NA,P10130
1426027,8025,1,6,0,6,6,-6,48,2,FRIDAY,SUNDAY,NA,P10131
700738,1600,34,1,1,0,1,1,238,1,FRIDAY,SATURDAY,NA,P10132
358398,8153,18,87,6,81,83,-75,21,3,WEDNESDAY,FRIDAY,NA,P10133
633016,168920,18,139,13,126,130,-113,42,67,THURSDAY,SATURDAY,NA,P10134
8580,589,44,0,0,0,0,0,153,2,WEDNESDAY,THURSDAY,NA,P10135
23223,121,36,13,2,11,11,-9,120,82,TUESDAY,THURSDAY,NA,P10136
1009493,47503,9,15,15,0,15,15,76,15,FRIDAY,SATURDAY,NA,P10137
28379,1283,32,2,0,0,2,0,24,1,WEDNESDAY,FRIDAY,NA,P10138
7461335,218090,9,294,294,0,294,294,170,138,MONDAY,MONDAY,NA,P10139
590707,25344,79,12,1,11,11,-10,184,65,SUNDAY,TUESDAY,NA,P10140
83245,558,34,0,0,0,0,0,721,2,TUESDAY,THURSDAY,NA,P10141
420838,606,39,7,1,4,6,-3,0,4,FRIDAY,MONDAY,NA,P10142
313452,86759,8,49,12,37,45,-25,0,435,FRIDAY,SATURDAY,NA,P10143
572325,27248,24,2,1,1,2,0,199,11,SUNDAY,TUESDAY,NA,P10144
653756,44589,24,6,6,0,6,6,107,3,MONDAY,MONDAY,NA,P10145
1057645,119644,24,43,11,32,41,-21,179,29,MONDAY,TUESDAY,NA,P10146
228007,24,16,11,0,11,11,-11,635,5,SUNDAY,MONDAY,NA,P10147
2736,277,54,3,0,3,3,-3,501,1,SUNDAY,TUESDAY,NA,P10148
4526533,111134,9,62,62,0,62,62,76,166,SATURDAY,SATURDAY,NA,P10149
133574,22660,38,34,2,5,31,-3,190,2,WEDNESDAY,SATURDAY,NA,P10150
313452,86759,8,83,9,19,66,-10,371,78,FRIDAY,MONDAY,NA,P10151
489358,21286,24,49,1,28,48,-27,142,2,SATURDAY,MONDAY,NA,P10152
3280313,39324,14,81,14,67,78,-53,25,201,SUNDAY,TUESDAY,NA,P10153
7564986,123241,12,1,1,0,1,1,105,2,FRIDAY,FRIDAY,NA,P10154
57889,10836,18,8,8,0,8,8,158,11,THURSDAY,FRIDAY,NA,P10155
1204214,6418,1,5,5,0,5,5,60,75,WEDNESDAY,THURSDAY,NA,P10156
94905,5573,18,26,2,12,21,-10,102,3,MONDAY,WEDNESDAY,NA,P10157
2078654,84453,9,43,43,0,43,43,951,233,MONDAY,MONDAY,NA,P10158
47872,3957,45,0,0,0,0,0,0,1,FRIDAY,SUNDAY,NA,P10159
1009493,47503,9,13,13,0,13,13,19,14,SATURDAY,SUNDAY,NA,P10160
3424,168,32,2,2,0,2,2,0,1,FRIDAY,FRIDAY,NA,P10161
2239009,87722,9,179,15,164,172,-149,269,624,TUESDAY,WEDNESDAY,NA,P10162
86582,175,4,1,0,0,1,0,39,3,TUESDAY,THURSDAY,NA,P10163
50469,2456,32,2,2,0,2,2,61,40,TUESDAY,TUESDAY,NA,P10164
44314,6358,8,22,22,0,22,22,76,2,TUESDAY,TUESDAY,NA,P10165
825,21,18,0,0,0,0,0,101,1,WEDNESDAY,SATURDAY,NA,P10166
572325,27248,24,10,10,0,10,10,41,18,FRIDAY,FRIDAY,NA,P10167
25599,1835,32,0,0,0,0,0,0,1,TUESDAY,WEDNESDAY,NA,P10168
23055,67,36,16,0,16,16,-16,110,125,MONDAY,WEDNESDAY,NA,P10169
55520,13,26,0,0,0,0,0,75,5,FRIDAY,SUNDAY,NA,P10170
274207,100435,18,97,97,0,97,97,44,31,SATURDAY,SUNDAY,NA,P10171
4926,58,68,0,0,0,0,0,109,1,SATURDAY,SUNDAY,NA,P10172
1975842,140870,9,195,2,37,193,-35,103,44,FRIDAY,SUNDAY,NA,P10173
29392,597,91,0,0,0,0,0,0,4,SATURDAY,SUNDAY,NA,P10174
413095,19301,24,59,2,30,53,-28,156,18,THURSDAY,SATURDAY,NA,P10175
57916,4150,80,6,6,0,6,6,6,25,THURSDAY,FRIDAY,NA,P10176
175464,52814,8,72,6,6,61,0,68,33,THURSDAY,SUNDAY,NA,P10177
663025,5954,24,22,0,5,21,-5,204,4,FRIDAY,MONDAY,NA,P10178
518876,51411,24,20,20,0,20,20,141,1,MONDAY,TUESDAY,NA,P10179
4526533,111134,9,29,1,28,28,-27,41,15,FRIDAY,SUNDAY,NA,P10180
115669,745,1,0,0,0,0,0,248,3,TUESDAY,WEDNESDAY,NA,P10181
1501468,50185,8,69,69,0,69,69,0,44,WEDNESDAY,WEDNESDAY,NA,P10182
1045111,34768,16,2,0,0,2,0,41,1,FRIDAY,MONDAY,NA,P10183
441554,60660,4,98,2,32,95,-30,145,15,THURSDAY,SATURDAY,NA,P10184
2156275,47233,9,27,27,0,27,27,65,61,WEDNESDAY,THURSDAY,NA,P10185
413095,19301,24,46,17,29,45,-12,111,32,SATURDAY,SUNDAY,NA,P10186
965964,11631,9,11,11,0,11,11,342,18,SUNDAY,MONDAY,NA,P10187
89879,1257,14,2,0,2,2,-2,69,3,FRIDAY,SUNDAY,NA,P10188
25879,1970,36,30,0,2,30,-2,145,29,SUNDAY,TUESDAY,NA,P10189
668834,42523,9,757,53,704,709,-651,13,94,FRIDAY,SUNDAY,NA,P10190
12301,87,18,0,0,0,0,0,232,1,SATURDAY,MONDAY,NA,P10191
856554,28,16,1,1,0,0,1,42,1,MONDAY,WEDNESDAY,NA,P10192
6109,1,13,14,3,11,14,-8,19,1,FRIDAY,SATURDAY,NA,P10193
562,0,16,0,0,0,0,0,48,1,THURSDAY,SATURDAY,NA,P10194
34008,11863,18,16,2,9,13,-7,108,15,MONDAY,WEDNESDAY,NA,P10195
33326385,27408,47,225,6,219,219,-213,149,231,THURSDAY,SATURDAY,NA,P10196
204478,3661,92,3,3,0,3,3,107,2,FRIDAY,SATURDAY,NA,P10197
441897,16175,18,76,76,0,76,76,107,104,THURSDAY,THURSDAY,NA,P10198
11426,3330,8,3,3,0,3,3,131,1,SATURDAY,SUNDAY,NA,P10199
595191,1561,16,44,0,2,44,-2,24,67,SATURDAY,MONDAY,NA,P10200
413095,19301,24,3,3,0,3,3,123,13,THURSDAY,THURSDAY,NA,P10201
441897,16175,18,280,28,252,264,-224,141,174,FRIDAY,SUNDAY,NA,P10202
810,4,67,0,0,0,0,0,89,1,THURSDAY,SATURDAY,NA,P10203
269481,4381,38,0,0,0,0,0,0,19,SUNDAY,TUESDAY,NA,P10204
2046147,123685,9,9,0,0,9,0,53,23,THURSDAY,SUNDAY,NA,P10205
4526533,111134,9,27,27,0,27,27,77,50,SATURDAY,SATURDAY,NA,P10206
1425417,84153,18,87,87,0,87,87,35,34,SATURDAY,SATURDAY,NA,P10207
5861927,29355,22,6,2,4,6,-2,120,3,SATURDAY,MONDAY,NA,P10208
309914,5432,26,12,1,11,12,-10,113,157,SUNDAY,MONDAY,NA,P10209
4290409,131422,9,139,63,76,136,-13,88,70,THURSDAY,FRIDAY,NA,P10210
253349,1888,44,16,0,5,14,-5,54,29,WEDNESDAY,SATURDAY,NA,P10211
47872,3957,45,0,0,0,0,0,500,1,WEDNESDAY,SATURDAY,NA,P10212
39611,612,32,3,3,0,3,3,71,2,WEDNESDAY,THURSDAY,NA,P10213
672411,14221,9,5,5,0,5,5,190,13,WEDNESDAY,THURSDAY,NA,P10214
3337470,11736,40,22,20,2,22,18,213,45,WEDNESDAY,THURSDAY,NA,P10215
400487,57833,13,17,2,15,16,-13,149,15,MONDAY,WEDNESDAY,NA,P10216
456478,3946,24,42,42,0,42,42,138,27,TUESDAY,WEDNESDAY,NA,P10217
41320,90,27,0,0,0,0,0,42,1,WEDNESDAY,SATURDAY,NA,P10218
1959278,12641,18,16,0,16,16,-16,87,66,THURSDAY,SATURDAY,NA,P10219
684014,72208,9,16,0,3,13,-3,155,3,WEDNESDAY,SATURDAY,NA,P10220
879585,49540,9,0,0,0,0,0,0,1,THURSDAY,FRIDAY,NA,P10221
895296,35681,16,166,14,101,149,-87,11,194,WEDNESDAY,FRIDAY,NA,P10222
17942,264,16,4,2,2,4,0,0,1,THURSDAY,SATURDAY,NA,P10223
104597,317,36,48,18,30,41,-12,0,396,MONDAY,WEDNESDAY,NA,P10224
3544586,227617,9,123,38,85,122,-47,99,343,THURSDAY,FRIDAY,NA,P10225
220749,12792,18,40,40,0,40,40,45,11,THURSDAY,THURSDAY,NA,P10226
313452,86759,8,76,19,57,73,-38,57,94,THURSDAY,SATURDAY,NA,P10227
891159,106158,9,7,0,7,7,-7,820,5,TUESDAY,THURSDAY,NA,P10228
89879,1257,14,1,0,0,1,0,142,2,TUESDAY,FRIDAY,NA,P10229
4233,1005,18,7,7,0,7,7,14,1,SATURDAY,SATURDAY,NA,P10230
684014,72208,9,58,0,5,56,-5,91,38,WEDNESDAY,FRIDAY,NA,P10231
1045111,34768,16,4,0,4,4,-4,0,258,THURSDAY,SATURDAY,NA,P10232
6141231,290050,36,110,3,11,104,-8,115,67,FRIDAY,MONDAY,NA,P10233
3337470,11736,40,13,1,2,10,-1,146,616,WEDNESDAY,SATURDAY,NA,P10234
595191,1561,16,19,19,0,19,19,16,74,SATURDAY,SUNDAY,NA,P10235
420838,606,39,19,1,18,19,-17,0,2,SATURDAY,MONDAY,NA,P10236
228007,24,16,1,0,0,1,0,144,1,SUNDAY,WEDNESDAY,NA,P10237
25879,1970,36,7,3,0,4,3,100,58,SATURDAY,TUESDAY,NA,P10238
55520,13,26,0,0,0,0,0,87,1,MONDAY,WEDNESDAY,NA,P10239
9422,189,34,0,0,0,0,0,60,1,FRIDAY,SATURDAY,NA,P10240
595191,1561,16,19,1,6,18,-5,0,36,MONDAY,THURSDAY,NA,P10241
50469,2456,32,8,3,5,8,-2,402,2,FRIDAY,SATURDAY,NA,P10242
4913787,158828,9,115,115,0,115,115,91,338,SATURDAY,SUNDAY,NA,P10243
565299,53207,18,21,7,1,13,6,376,65,SUNDAY,WEDNESDAY,NA,P10244
3002207,47567,3,7,0,7,7,-7,138,17,FRIDAY,SUNDAY,NA,P10245
209071,444,55,0,0,0,0,0,19,1,TUESDAY,THURSDAY,NA,P10246
856554,28,16,18,2,16,18,-14,104,19,SATURDAY,MONDAY,NA,P10247
321135,1651,16,39,3,20,36,-17,115,31,TUESDAY,THURSDAY,NA,P10248
454393,66403,96,2,0,2,2,-2,14,3,SUNDAY,MONDAY,NA,P10249
2156275,47233,9,248,7,79,240,-72,120,437,SATURDAY,MONDAY,NA,P10250
6991,550,80,3,3,0,3,3,578,15,SUNDAY,SUNDAY,NA,P10251
433536,11192,24,83,0,4,80,-4,177,18,SATURDAY,TUESDAY,NA,P10252
700738,1600,34,2,2,0,2,2,308,1,FRIDAY,SATURDAY,NA,P10253
1251509,46184,9,8,0,8,8,-8,0,2,MONDAY,WEDNESDAY,NA,P10254
14032442,35154,20,21,4,16,11,-12,166,19,TUESDAY,THURSDAY,NA,P10255
321135,1651,16,2,2,0,2,2,11,1,WEDNESDAY,THURSDAY,NA,P10256
274207,100435,18,42,42,0,42,42,28,1,MONDAY,TUESDAY,NA,P10257
6109,1,13,0,0,0,0,0,61,1,SUNDAY,WEDNESDAY,NA,P10258
25723,3586,2,30,0,18,29,-18,189,18,MONDAY,WEDNESDAY,NA,P10259
274207,100435,18,52,52,0,52,52,79,62,SUNDAY,SUNDAY,NA,P10260
104597,317,36,176,0,16,168,-16,321,369,WEDNESDAY,SATURDAY,NA,P10261
115804,22,46,7,0,7,7,-7,5,63,THURSDAY,SATURDAY,NA,P10262
285320,5510,24,225,225,0,225,225,60,1,SUNDAY,MONDAY,NA,P10263
10217,2,55,1,1,0,1,1,451,1,TUESDAY,WEDNESDAY,NA,P10264
433536,11192,24,13,0,13,13,-13,170,6,SUNDAY,TUESDAY,NA,P10265
54305,4830,67,0,0,0,0,0,171,1,SATURDAY,SUNDAY,NA,P10266
425753,10938,31,22,0,4,22,-4,165,24,TUESDAY,FRIDAY,NA,P10267
441554,60660,4,33,0,2,33,-2,133,14,WEDNESDAY,SATURDAY,NA,P10268
3032492,114769,9,23,1,22,22,-21,488,184,WEDNESDAY,FRIDAY,NA,P10269
1259,0,2,18,0,18,18,-18,287,2,SUNDAY,MONDAY,NA,P10270
156629,83726,57,203,203,0,203,203,265,391,TUESDAY,TUESDAY,NA,P10271
57916,4150,80,19,19,0,19,19,214,27,SUNDAY,MONDAY,NA,P10272
1203855,101567,9,18,0,3,16,-3,34,18,TUESDAY,FRIDAY,NA,P10273
965964,11631,9,6,1,5,6,-4,0,1,FRIDAY,SATURDAY,NA,P10274
236881,36034,40,58,2,31,55,-29,111,411,TUESDAY,THURSDAY,NA,P10275
356059,27989,8,105,105,0,105,105,15,20,WEDNESDAY,THURSDAY,NA,P10276
672411,14221,9,17,6,11,17,-5,125,12,SATURDAY,MONDAY,NA,P10277
3544586,227617,9,45,45,0,45,45,84,101,MONDAY,TUESDAY,NA,P10278
1433518,101466,9,119,9,110,114,-101,117,119,TUESDAY,WEDNESDAY,NA,P10279
5861927,29355,22,18,4,3,14,1,1412,2,MONDAY,THURSDAY,NA,P10280
192885,2647,24,32,10,22,32,-12,16,133,FRIDAY,SUNDAY,NA,P10281
996915,86122,24,60,60,0,60,60,145,32,MONDAY,MONDAY,NA,P10282
367390,2678,100,5,5,0,5,5,30,63,SATURDAY,SATURDAY,NA,P10283
184,1,27,0,0,0,0,0,0,13,TUESDAY,WEDNESDAY,NA,P10284
2075758,17605,9,34,8,26,33,-18,58,314,SUNDAY,MONDAY,NA,P10285
23985,2773,36,1,1,0,1,1,7,5,TUESDAY,WEDNESDAY,NA,P10286
2027759,30065,8,889,889,0,889,889,73,161,MONDAY,TUESDAY,NA,P10287
6292,114,24,0,0,0,0,0,13,1,SATURDAY,MONDAY,NA,P10288
34008,11863,18,28,28,0,28,28,12,2,SATURDAY,SUNDAY,NA,P10289
7373665,37465,14,370,12,151,342,-139,39,7247,SATURDAY,MONDAY,NA,P10290
57411,1485,87,0,0,0,0,0,160,3,MONDAY,MONDAY,NA,P10291
642243,12330,24,36,3,33,34,-30,155,59,MONDAY,WEDNESDAY,NA,P10292
4913787,158828,9,61,61,0,61,61,117,342,MONDAY,TUESDAY,NA,P10293
36734,4,14,0,0,0,0,0,157,1,TUESDAY,WEDNESDAY,NA,P10294
2046147,123685,9,23,1,4,21,-3,583,56,THURSDAY,SATURDAY,NA,P10295
1317873,56331,24,464,164,300,431,-136,59,122,MONDAY,WEDNESDAY,NA,P10296
798622,34668,5,5,2,3,5,-1,322,82,MONDAY,TUESDAY,NA,P10297
668834,42523,9,67,25,42,60,-17,116,190,FRIDAY,SATURDAY,NA,P10298
10357851,256407,4,84,84,0,84,84,146,225,TUESDAY,TUESDAY,NA,P10299
595191,1561,16,25,0,3,25,-3,739,64,SUNDAY,TUESDAY,NA,P10300
672411,14221,9,10,10,0,10,10,179,15,TUESDAY,TUESDAY,NA,P10301
14691,4072,16,200,51,149,157,-98,60,5,SATURDAY,MONDAY,NA,P10302
633796,954,9,20,0,1,20,-1,252,2,SUNDAY,WEDNESDAY,NA,P10303
3544586,227617,9,50,50,0,50,50,0,132,FRIDAY,SATURDAY,NA,P10304
684014,72208,9,19,19,0,19,19,47,1,MONDAY,MONDAY,NA,P10305
4685,391,32,0,0,0,0,0,0,1,TUESDAY,FRIDAY,NA,P10306
668834,42523,9,163,163,0,163,163,109,302,WEDNESDAY,THURSDAY,NA,P10307
640987,84288,1,12,0,2,10,-2,127,38,SATURDAY,MONDAY,NA,P10308
23253,4595,8,7,0,1,6,-1,137,1,SATURDAY,TUESDAY,NA,P10309
209979,185,46,0,0,0,0,0,0,4,FRIDAY,FRIDAY,NA,P10310
441897,16175,18,53,2,8,50,-6,208,3,FRIDAY,SUNDAY,NA,P10311
2156275,47233,9,0,0,0,0,0,154,1,FRIDAY,MONDAY,NA,P10312
642243,12330,24,16,16,0,16,16,204,46,THURSDAY,FRIDAY,NA,P10313
51890,4376,66,30,1,29,29,-28,54,2,SATURDAY,SUNDAY,NA,P10314
965964,11631,9,33,33,0,33,33,154,116,WEDNESDAY,WEDNESDAY,NA,P10315
7564986,123241,12,4,2,0,2,2,127,30,FRIDAY,MONDAY,NA,P10316
